lad_code,lad_name,stp_code,stp_name,itl3_code,itl3_name,itl2_code,itl2_name,itl1_code,itl1_name,n_lsoa,mean_imd_score,median_imd_score,mean_lsoa_imd_decile,lad_imd_rank,lad_imd_decile
E06000042,Milton Keynes,E54000024,"Bedfordshire, Luton and Milton Keynes",TLJ12,Milton Keynes,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),152,17.95475,13.814499999999999,6.1381578947368425,162,6
E06000043,Brighton and Hove,E54000053,Sussex Health and Care Partnership,TLJ21,Brighton and Hove,TLJ2,"Surrey, East and West Sussex",TLJ,South East (England),165,20.978539393939393,16.513,5.551515151515151,126,5
E06000044,Portsmouth,E54000042,Hampshire and the Isle of Wight,TLJ31,Portsmouth,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),125,26.822400000000002,23.088,4.288,63,3
E06000045,Southampton,E54000042,Hampshire and the Isle of Wight,TLJ32,Southampton,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),148,27.261945945945946,25.086,4.114864864864865,58,2
E06000046,Isle of Wight,E54000042,Hampshire and the Isle of Wight,TLJ34,Isle of Wight,TLJ3,Hampshire and Isle of Wight,TLJ,South East (England),89,23.294426966292136,22.155,4.595505617977527,94,4
E06000047,County Durham,E54000050,Cumbria and North East,TLC14,Durham,TLC1,Tees Valley and Durham,TLC,North East (England),324,27.434944444444444,26.0435,4.262345679012347,54,2
E06000049,Cheshire East,E54000008,Cheshire and Merseyside,TLD62,Cheshire East,TLD6,Cheshire,TLD,North West (England),234,14.188901709401708,10.741,7.106837606837606,218,8
E06000050,Cheshire West and Chester,E54000008,Cheshire and Merseyside,TLD63,Cheshire West and Chester,TLD6,Cheshire,TLD,North West (England),212,18.308811320754717,13.557500000000001,6.231132075471698,156,6
E06000051,Shropshire,E54000011,Shropshire and Telford and Wrekin,TLG22,Shropshire,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England),193,17.40085492227979,17.183,5.891191709844559,171,6
E06000052,Cornwall,E54000036,Cornwall and the Isles of Scilly Health and Social Care Partnership,TLK30,Cornwall and Isles of Scilly,TLK3,Cornwall and Isles of Scilly,TLK,South West (England),326,23.32192944785276,22.2095,4.542944785276073,93,3
E06000053,Isles of Scilly,E54000036,Cornwall and the Isles of Scilly Health and Social Care Partnership,TLK30,Cornwall and Isles of Scilly,TLK3,Cornwall and Isles of Scilly,TLK,South West (England),1,12.005,12.005,7,256,9
E06000054,Wiltshire,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",TLK15,Wiltshire,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area",TLK,South West (England),285,13.566312280701753,11.949,7.007017543859648,228,8
E06000055,Bedford,E54000024,"Bedfordshire, Luton and Milton Keynes",TLH24,Bedford,TLH2,Bedfordshire and Hertfordshire,TLH,East,103,19.100135922330097,15.682,5.7961165048543695,144,5
E06000056,Central Bedfordshire,E54000024,"Bedfordshire, Luton and Milton Keynes",TLH25,Central Bedfordshire,TLH2,Bedfordshire and Hertfordshire,TLH,East,157,11.968337579617835,9.404,7.528662420382166,257,9
E06000057,Northumberland,E54000050,Cumbria and North East,TLC21,Northumberland,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),197,21.9034923857868,18.286,5.401015228426396,115,4
E06000058,"Bournemouth, Christchurch and Poole",E54000041,Dorset,TLK24,"Bournemouth, Christchurch and Poole",TLK2,Dorset and Somerset,TLK,South West (England),233,17.869158798283262,14.785,6.064377682403434,163,6
E06000059,Dorset,E54000041,Dorset,TLK25,Dorset,TLK2,Dorset and Somerset,TLK,South West (England),219,15.624360730593608,14.669,6.502283105022831,201,7
E06000060,Buckinghamshire,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West",TLJ13,Buckinghamshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England),319,9.883423197492164,8.673,8.043887147335422,284,10
E06000061,North Northamptonshire,E54000020,Northamptonshire,TLF25,North Northamptonshire,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),194,19.92685051546392,15.551,5.701030927835053,138,5
E06000062,West Northamptonshire,E54000020,Northamptonshire,TLF24,West Northamptonshire,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England),228,17.84772807017544,12.591000000000001,6.302631578947368,164,6
E07000008,Cambridge,E54000021,Cambridgeshire and Peterborough,TLH12,Cambridgeshire CC,TLH1,East Anglia,TLH,East,69,15.434217391304347,13.89,6.608695652173913,202,7
E07000009,East Cambridgeshire,E54000021,Cambridgeshire and Peterborough,TLH12,Cambridgeshire CC,TLH1,East Anglia,TLH,East,50,11.54288,11.399000000000001,7.5,268,9
E07000010,Fenland,E54000021,Cambridgeshire and Peterborough,TLH12,Cambridgeshire CC,TLH1,East Anglia,TLH,East,55,25.681490909090908,24.762,4.1454545454545455,73,3
E07000011,Huntingdonshire,E54000021,Cambridgeshire and Peterborough,TLH12,Cambridgeshire CC,TLH1,East Anglia,TLH,East,105,12.457009523809523,10.553,7.352380952380953,247,8
E07000012,South Cambridgeshire,E54000021,Cambridgeshire and Peterborough,TLH12,Cambridgeshire CC,TLH1,East Anglia,TLH,East,96,8.6168125,8.118,8.427083333333334,295,10
E07000026,Allerdale,E54000050,Cumbria and North East,TLD11,West Cumbria,TLD1,Cumbria,TLD,North West (England),60,22.669183333333333,19.066,5.083333333333333,103,4
E07000027,Barrow-in-Furness,E54000048,Healthier Lancashire and South Cumbria,TLD11,West Cumbria,TLD1,Cumbria,TLD,North West (England),49,31.564163265306124,26.755,4.061224489795919,25,1
E07000028,Carlisle,E54000050,Cumbria and North East,TLD12,East Cumbria,TLD1,Cumbria,TLD,North West (England),68,22.292338235294118,20.823999999999998,5.176470588235294,107,4
E07000029,Copeland,E54000050,Cumbria and North East,TLD11,West Cumbria,TLD1,Cumbria,TLD,North West (England),49,25.198244897959185,22.977,4.469387755102041,81,3
E07000030,Eden,E54000050,Cumbria and North East,TLD12,East Cumbria,TLD1,Cumbria,TLD,North West (England),36,16.250333333333334,16.7855,6.111111111111111,184,6
E07000031,South Lakeland,E54000048,Healthier Lancashire and South Cumbria,TLD12,East Cumbria,TLD1,Cumbria,TLD,North West (England),59,12.229677966101695,11.483,7.271186440677966,250,9
E07000032,Amber Valley,E54000012,Joined Up Care Derbyshire,TLF13,South and West Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),78,18.071410256410257,16.0325,6.012820512820514,158,6
E07000033,Bolsover,E54000012,Joined Up Care Derbyshire,TLF12,East Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),48,25.007270833333333,23.683999999999997,4.333333333333334,84,3
E07000034,Chesterfield,E54000012,Joined Up Care Derbyshire,TLF12,East Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),69,24.784884057971013,22.728,4.652173913043479,87,3
E07000035,Derbyshire Dales,E54000012,Joined Up Care Derbyshire,TLF13,South and West Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),43,11.84332558139535,10.187,7.558139534883721,260,9
E07000036,Erewash,E54000012,Joined Up Care Derbyshire,TLF13,South and West Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),73,18.93386301369863,14.581,5.972602739726026,149,5
E07000037,High Peak,E54000012,Joined Up Care Derbyshire,TLF13,South and West Derbyshire,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England),59,15.90542372881356,13.028,6.559322033898305,191,7
