lad_code,lad_name,n_lsoa,mean_imd_score,median_imd_score,mean_lsoa_imd_decile,lad_imd_rank,lad_imd_decile
E08000035,Leeds,482,27.243360995850622,20.0255,4.796680497925312,59,2
E08000036,Wakefield,209,27.23937320574163,24.776,4.334928229665072,60,2
E08000019,Sheffield,345,26.953753623188405,20.519,4.837681159420289,61,2
E09000023,Lewisham,169,26.869360946745562,26.957,3.7633136094674553,62,2
E06000044,Portsmouth,125,26.822400000000002,23.088,4.288,63,3
E06000005,Darlington,65,26.787,22.238,4.815384615384615,64,3
E08000033,Calderdale,128,26.73428125,22.419,4.4765625,65,3
E07000170,Ashfield,74,26.502513513513513,23.5715,4.283783783783784,66,3
E06000026,Plymouth,161,26.36757142857143,23.339,4.478260869565217,67,3
E06000023,"Bristol, City of",263,26.24455513307985,23.424,4.634980988593156,68,3
E07000168,Scarborough,71,26.126422535211265,21.923,4.47887323943662,69,3
E09000028,Southwark,166,26.041289156626505,27.3115,4.024096385542169,70,3
E09000022,Lambeth,178,25.797247191011234,25.234499999999997,3.949438202247191,71,3
E07000202,Ipswich,85,25.70414117647059,22.496,4.51764705882353,72,3
E07000010,Fenland,55,25.681490909090908,24.762,4.1454545454545455,73,3
E08000010,Wigan,200,25.528415,21.447499999999998,4.885000000000001,74,3
E09000010,Enfield,183,25.403448087431695,26.291,4.382513661202187,75,3
E08000026,Coventry,195,25.352876923076924,21.487,4.692307692307692,76,3
E06000020,Telford and Wrekin,108,25.34003703703704,22.1635,4.833333333333334,77,3
E06000015,Derby,151,25.27052317880795,21.96,4.907284768211921,78,3
E06000004,Stockton-on-Tees,120,25.244108333333333,18.3065,5.208333333333334,79,3
E09000005,Brent,173,25.19985549132948,22.985,4.1618497109826595,80,3
E07000029,Copeland,49,25.198244897959185,22.977,4.469387755102041,81,3
E09000031,Waltham Forest,144,25.136930555555555,24.385,4.076388888888889,82,3
E06000032,Luton,121,25.034743801652894,23.46,4.322314049586778,83,3
E07000033,Bolsover,48,25.007270833333333,23.683999999999997,4.333333333333334,84,3
E07000125,Rossendale,43,24.961441860465115,24.963,4.488372093023257,85,3
E08000034,Kirklees,259,24.868088803088803,22.001,4.7142857142857135,86,3
E07000034,Chesterfield,69,24.784884057971013,22.728,4.652173913043479,87,3
E07000121,Lancaster,89,24.73073033707865,18.873,5.02247191011236,88,3
E09000011,Greenwich,151,24.27517880794702,23.247,4.317880794701987,89,3
E07000112,Folkestone and Hythe,67,23.985014925373132,20.922,4.597014925373134,90,3
E06000035,Medway,163,23.79322699386503,22.071,4.9079754601226995,91,3
E07000146,King's Lynn and West Norfolk,89,23.630966292134833,21.467,4.584269662921349,92,3
E06000052,Cornwall,326,23.32192944785276,22.2095,4.542944785276073,93,3
E06000046,Isle of Wight,89,23.294426966292136,22.155,4.595505617977527,94,4
E08000027,Dudley,201,23.290910447761195,21.27,5.079601990049751,95,4
E08000002,Bury,120,23.250383333333332,18.017000000000003,5.216666666666665,96,4
E07000171,Bassetlaw,70,23.015585714285713,19.715,4.928571428571428,97,4
E06000039,Slough,80,23.0155125,23.125999999999998,4.5375,98,4
E07000046,Torridge,37,23.011891891891892,23.144,4.513513513513513,99,4
E07000219,Nuneaton and Bedworth,81,22.882703703703704,22.394,4.962962962962964,100,4
E07000136,Boston,36,22.851916666666668,23.8355,4.638888888888889,101,4
E07000066,Basildon,110,22.80630909090909,21.6645,5.199999999999999,102,4
E07000026,Allerdale,60,22.669183333333333,19.066,5.083333333333333,103,4
E09000009,Ealing,196,22.552739795918367,21.4955,4.795918367346939,104,4
E07000236,Redditch,55,22.390454545454546,19.5,5.2727272727272725,105,4
E09000013,Hammersmith and Fulham,113,22.326221238938054,20.791,4.823008849557523,106,4
E07000028,Carlisle,68,22.292338235294118,20.823999999999998,5.176470588235294,107,4
E07000128,Wyre,69,22.13468115942029,15.58,5.579710144927537,108,4
E08000022,North Tyneside,131,22.113351145038166,20.513,5.450381679389313,109,4
E07000081,Gloucester,78,22.098628205128204,16.6045,5.448717948717949,110,4
E07000108,Dover,67,22.08968656716418,19.489,5,111,4
E09000020,Kensington and Chelsea,103,22.019300970873786,18.046,5.2135922330097095,112,4
E09000008,Croydon,220,21.957304545454544,20.552500000000002,5.022727272727272,113,4
E06000013,North Lincolnshire,101,21.929435643564357,18.005,5.326732673267327,114,4
E06000057,Northumberland,197,21.9034923857868,18.286,5.401015228426396,115,4
E07000061,Eastbourne,61,21.88967213114754,21.344,4.9836065573770485,116,4
E07000090,Havant,78,21.7630641025641,16.866,5.448717948717949,117,4
E06000033,Southend-on-Sea,107,21.6996261682243,19.39,5.5046728971962615,118,4
E07000073,Harlow,54,21.64987037037037,22.1935,4.814814814814815,119,4
E07000188,Sedgemoor,70,21.458357142857142,18.073500000000003,5.314285714285715,120,4
E07000239,Wyre Forest,65,21.4184,17.768,5.353846153846154,121,4
E09000018,Hounslow,142,21.371711267605633,20.253500000000003,4.830985915492957,122,4
E07000237,Worcester,63,21.261714285714284,15.95,5.7936507936507935,123,4
E07000147,North Norfolk,62,21.10751612903226,20.826999999999998,4.806451612903226,124,4
E07000199,Tamworth,51,20.981333333333335,17.768,5.372549019607844,125,5
E06000043,Brighton and Hove,165,20.978539393939393,16.513,5.551515151515151,126,5
E07000142,West Lindsey,52,20.901461538461536,16.6675,5.692307692307692,127,5
E07000192,Cannock Chase,60,20.88928333333333,18.9955,5.2333333333333325,128,5
E07000043,North Devon,58,20.812465517241378,19.529,5.172413793103448,129,5
E07000109,Gravesham,64,20.742375,17.5215,5.34375,130,5
E06000034,Thurrock,98,20.632714285714286,20.8005,5.26530612244898,131,5
E09000033,Westminster,128,20.33184375,18.296999999999997,5.453125,132,5
E08000007,Stockport,190,20.294915789473684,15.0445,5.921052631578948,133,5
E07000244,East Suffolk,146,20.119979452054793,17.797,5.7465753424657535,134,5
E07000088,Gosport,53,20.03656603773585,18.532,5.528301886792454,135,5
E09000007,Camden,133,19.981052631578947,18.925,5.406015037593985,136,5
E06000038,Reading,97,19.960051546391753,18.841,5.474226804123712,137,5
E06000061,North Northamptonshire,194,19.92685051546392,15.551,5.701030927835053,138,5
E07000064,Rother,58,19.799706896551726,18.6175,5.413793103448276,139,5
E07000243,Stevenage,52,19.67153846153846,18.822,5.230769230769231,140,5
E07000143,Breckland,78,19.617294871794872,17.9665,5.346153846153846,141,5
E07000246,Somerset West and Taunton,88,19.516931818181817,17.886,5.545454545454545,142,5
E07000195,Newcastle-under-Lyme,80,19.1869125,15.4995,5.6875,143,5
E06000055,Bedford,103,19.100135922330097,15.682,5.7961165048543695,144,5
E07000226,Crawley,66,19.03369696969697,20.5445,5.5,145,5
E07000175,Newark and Sherwood,70,19.02904285714286,16.1545,5.7714285714285705,146,5
E06000019,"Herefordshire, County of",116,18.96776724137931,18.8965,5.525862068965518,147,5
E06000007,Warrington,127,18.95548031496063,13.117,6.165354330708662,148,5
E07000036,Erewash,73,18.93386301369863,14.581,5.972602739726026,149,5
E07000107,Dartford,58,18.83653448275862,17.109,5.793103448275862,150,5
E07000127,West Lancashire,73,18.822780821917807,13.556,6.164383561643836,151,5
E07000224,Arun,94,18.653734042553193,15.836500000000001,5.75531914893617,152,5
E07000105,Ashford,78,18.56555128205128,16.348999999999997,5.730769230769231,153,5
E07000193,East Staffordshire,72,18.521930555555556,15.126,5.916666666666666,154,5
E06000030,Swindon,132,18.510363636363635,13.249500000000001,6.1818181818181825,155,5
E06000050,Cheshire West and Chester,212,18.308811320754717,13.557500000000001,6.231132075471698,156,6
E07000080,Forest of Dean,50,18.1901,16.4905,5.62,157,6
E07000032,Amber Valley,78,18.071410256410257,16.0325,6.012820512820514,158,6
E07000140,South Holland,49,18.023897959183675,17.415,5.673469387755102,159,6
E07000047,West Devon,31,18.011741935483872,19.014,5.645161290322581,160,6
E07000218,North Warwickshire,38,17.993052631578948,15.514,5.789473684210526,161,6
E06000042,Milton Keynes,152,17.95475,13.814499999999999,6.1381578947368425,162,6
E06000058,"Bournemouth, Christchurch and Poole",233,17.869158798283262,14.785,6.064377682403434,163,6
E06000062,West Northamptonshire,228,17.84772807017544,12.591000000000001,6.302631578947368,164,6
E09000017,Hillingdon,161,17.839329192546586,17.74,5.906832298136645,165,6
E08000029,Solihull,134,17.75452985074627,11.7385,6.567164179104476,166,6
E07000223,Adur,42,17.709357142857144,15.1755,5.904761904761905,167,6
E07000095,Broxbourne,56,17.6,16.0305,5.9107142857142865,168,6
E07000106,Canterbury,90,17.5692,14.243,6.133333333333334,169,6
E07000189,South Somerset,103,17.401912621359223,16.7,5.922330097087379,170,6
E06000051,Shropshire,193,17.40085492227979,17.183,5.891191709844559,171,6
E07000042,Mid Devon,43,17.320372093023256,18.33,5.813953488372093,172,6
E07000038,North East Derbyshire,63,17.187698412698413,14.27,6.238095238095238,173,6
E07000071,Colchester,105,17.088638095238096,14.848,6.171428571428572,174,6
E07000178,Oxford,83,16.98675903614458,14.704,6.289156626506024,175,6
E09000026,Redbridge,161,16.907850931677018,16.218,5.987577639751553,176,6
E07000118,Chorley,66,16.862000000000002,11.9825,6.424242424242425,177,6
E07000069,Castle Point,57,16.844333333333335,14.074,6.280701754385964,178,6
E07000229,Worthing,65,16.768292307692306,15.969,6.292307692307693,179,6
E07000187,Mendip,66,16.72507575757576,16.072,6.045454545454545,180,6
E09000032,Wandsworth,179,16.420262569832403,15.181,6.212290502793296,181,6
E09000016,Havering,150,16.35052,13.8735,6.346666666666667,182,6
E07000041,Exeter,74,16.315054054054055,13.8205,6.391891891891892,183,6
E07000030,Eden,36,16.250333333333334,16.7855,6.111111111111111,184,6
E07000110,Maidstone,95,16.175168421052632,14.769,6.442105263157896,185,6
E07000235,Malvern Hills,45,16.122622222222223,14.548,6.377777777777778,186,6
E07000119,Fylde,51,16.108941176470587,13.595,6.470588235294118,187,7
E07000245,West Suffolk,100,16.08437,15.417,6.25,188,7
E09000003,Barnet,211,15.953625592417062,13.565,6.383886255924171,189,7
E08000009,Trafford,138,15.912528985507247,11.308,6.77536231884058,190,7
E07000037,High Peak,59,15.90542372881356,13.028,6.559322033898305,191,7
E06000024,North Somerset,135,15.883244444444445,11.447,6.874074074074075,192,7
E09000004,Bexley,146,15.88236301369863,12.932500000000001,6.506849315068493,193,7
E06000011,East Riding of Yorkshire,210,15.798033333333333,12.450500000000002,6.757142857142857,194,7
E07000063,Lewes,62,15.762306451612902,12.76,6.467741935483871,195,7
E07000126,South Ribble,70,15.741685714285715,12.497,6.7,196,7
E07000167,Ryedale,30,15.708966666666667,16.680500000000002,6.166666666666667,197,7
E07000238,Wychavon,78,15.687166666666666,14.3505,6.461538461538462,198,7
E07000092,Rushmoor,58,15.662706896551725,13.303999999999998,6.551724137931034,199,7
E07000045,Teignbridge,84,15.660142857142857,14.628,6.357142857142857,200,7
E06000059,Dorset,219,15.624360730593608,14.669,6.502283105022831,201,7
E07000008,Cambridge,69,15.434217391304347,13.89,6.608695652173913,202,7
E07000103,Watford,53,15.429849056603773,15.089,6.433962264150944,203,7
