scenario,imd_decile,age_group,age_idx,adm_base,adm_cf,adm_diff,adm_attr_frac,death_base,death_cf,death_diff,death_attr_frac,adm_avoided_abs,death_avoided_abs
CF2: decile 5 πₐ,1,5 to 9,3,0.12405543239655119,0.11442584920373883,0.00962958319281236,7.762322863887795,0.004962056065621336,0.004576126410981002,3.8592965464033426e-4,7.7776157612199235,4.183507455726675,0.1676645349280508
CF2: decile 5 πₐ,1,10 to 14,4,0.034960806408514,0.03013369294860313,0.004827113459910867,13.807214294505865,0.0013620592190505519,0.0011737752709663444,1.8828394808420752e-4,13.823477382683425,1.95937809974491,0.07642651192551747
CF2: decile 5 πₐ,1,15 to 19,5,0.013805119436838667,0.01067089366175153,0.0031342257750871377,22.703358630302922,4.183205425939299e-4,3.232816282334992e-4,9.503891436043067e-5,22.719160233229662,1.081803810016666,0.032803463130253625
CF2: decile 5 πₐ,1,20 to 24,6,0.020988172816586582,0.014558076879206659,0.006430095937379924,30.63675906221971,7.363908228191117e-4,5.106562799731591e-4,2.2573454284595265e-4,30.65417653926989,2.3144225383943016,0.08124997181141407
CF2: decile 5 πₐ,1,25 to 29,7,0.13610799105935464,0.08666114276956334,0.049446848289791304,36.32912946913475,0.006101089069799695,0.003883629923503155,0.00221745914629654,36.34530033781889,20.699397149184517,0.928270842709305
CF2: decile 5 πₐ,1,30 to 34,8,0.18427387858869898,0.11393598133720251,0.07033789725149647,38.17030269845859,0.009213230283901792,0.005695078360762898,0.003518151923138894,38.18586765692956,29.64784093337619,1.482921905153403
CF2: decile 5 πₐ,1,35 to 39,9,0.2598911665690281,0.1580578054866026,0.10183336108242552,39.18307898909607,0.014133747533035495,0.008593619544799879,0.0055401279882356155,39.19787002906629,39.240931043069786,2.1348581451629385
CF2: decile 5 πₐ,1,40 to 44,10,0.37073209323702105,0.217572454012705,0.15315963922431605,41.31275441708148,0.022968155436287815,0.013476055287346106,0.00949210014894171,41.32722009511031,50.003263977232905,3.098962571664961
CF2: decile 5 πₐ,1,45 to 49,11,0.5410025339861971,0.3096075036372977,0.2313950303488994,42.77152431134511,0.04095953169375447,0.023434389735144504,0.017525141958609967,42.78648029875354,74.75843382467637,5.66197192483064
CF2: decile 5 πₐ,1,50 to 54,12,0.5767228744502194,0.34419435171518736,0.23252852273503205,40.318935321699826,0.05286339014944503,0.03154082211503982,0.021322568034405208,40.335226276873684,77.42613662273978,7.099877668172182
CF2: decile 5 πₐ,1,55 to 59,13,0.8058972311961783,0.5096137785751661,0.2962834526210122,36.76442121301796,0.09197837266380618,0.05814692060305614,0.03383145206075004,36.78196415195204,92.28405819392049,10.537556732041644
CF2: decile 5 πₐ,1,60 to 64,14,1.355468139935705,0.966827840173646,0.38864029976205894,28.672035019612757,0.18995767774926067,0.1354566030272197,0.054501074722040965,28.691167089324498,101.39492143084125,14.219143492635917
CF2: decile 5 πₐ,1,65 to 69,15,1.2977005416471608,0.9885094520016102,0.30919108964555053,23.826073868559597,0.22076206535005707,0.1681197675014856,0.05264229784857147,23.845717227322478,65.04486436047073,11.074417206230464
CF2: decile 5 πₐ,1,70 to 74,16,1.8502015255293294,1.4695553501102303,0.38064617541909906,20.5732278439344,0.36555861170244813,0.29027410386130753,0.0752845078411406,20.594374043202556,69.70288264215702,13.785892394809746
CF2: decile 5 πₐ,1,75+,17,3.8878628568542557,3.1922815833606815,0.6955812734935742,17.891095933779475,0.9319364002911131,0.7650024002330273,0.16693400005808579,17.91259575287969,212.67263139687256,51.03974821468041
CF2: decile 5 πₐ,2,Under 1,1,0.0096366100915191,0.008587401331353033,0.0010492087601660666,10.887736975987487,3.769629515740553e-4,3.3568550801490863e-4,4.127744355914665e-5,10.950000095974312,0.07066377852604137,0.00278001884898773
CF2: decile 5 πₐ,2,1 to 4,2,0.04344930468050568,0.039024768528483904,0.004424536152021777,10.183215092983813,0.0016996510289421735,0.0015255268571716192,1.7412417177055427e-4,10.24470134195285,1.287422512459323,0.05066550955817399
CF2: decile 5 πₐ,2,5 to 9,3,0.10056620178796025,0.09404417689641793,0.0065220248915423135,6.485304978797686,0.004021726741388507,0.0037590017771709124,2.627249642175944e-4,6.532640855825234,2.4875693457836445,0.10020608296164345
CF2: decile 5 πₐ,2,10 to 14,4,0.026821484436555448,0.02487396422084872,0.001947520215706728,7.261045600639539,0.0010447274128920852,9.683269458731662e-4,7.6400467018919e-5,7.3129570523493825,0.6971612088640091,0.027349365369928064
CF2: decile 5 πₐ,2,15 to 19,5,0.011150252531246296,0.009315980374898107,0.0018342721563481892,16.450498777565958,3.3779775840944736e-4,2.820626736080665e-4,5.573508480138088e-5,16.49954252621888,0.5776273583560502,0.01755143569625273
CF2: decile 5 πₐ,2,20 to 24,6,0.018170915342665024,0.014589293479417186,0.003581621863247838,19.71073991434128,6.373764752959965e-4,5.11392379467666e-4,1.259840958283305e-4,19.766041062281708,1.3113932199215803,0.04612845671469225
CF2: decile 5 πₐ,2,25 to 29,7,0.111425008928104,0.08511827043446375,0.02630673849364025,23.60936628743233,0.004993338969043932,0.0038117901776236157,0.0011815487914203161,23.66249915628191,10.969884319461757,0.4927046947615416
CF2: decile 5 πₐ,2,30 to 34,8,0.14904802241916223,0.11125966147704036,0.037788360942121874,25.3531447977559,0.007450019963964392,0.005557346231612734,0.0018926737323516586,25.404948463312664,15.925725009255714,0.7976583435264931
CF2: decile 5 πₐ,2,35 to 39,9,0.20987576927889193,0.15337459999083344,0.056501169288058484,26.92124464019346,0.011410736212484904,0.008333150430049287,0.003077585782435617,26.970965984371087,21.88696079943256,1.1921700068479053
CF2: decile 5 πₐ,2,40 to 44,10,0.3024390060252399,0.21426757980231967,0.08817142622292021,29.153457214960532,0.01873223362613562,0.01326205862979058,0.005470174996345041,29.201936648456773,29.044001954979777,1.801896374980345
CF2: decile 5 πₐ,2,45 to 49,11,0.454044830944586,0.3077048668135388,0.14633996413104716,32.2302896448803,0.03436661915303058,0.023273586949750028,0.011093032203280555,32.27850884570451,47.37832433221492,3.5914268578341635
CF2: decile 5 πₐ,2,50 to 54,12,0.5062941902810062,0.3435747424130866,0.1627194478679196,32.13930773679353,0.04639452043918197,0.03146033709101512,0.014934183348166853,32.18954136565308,54.67411161932482,5.017920218017858
CF2: decile 5 πₐ,2,55 to 59,13,0.7290427822142391,0.5076597469590663,0.22138303525517278,30.366261165468387,0.08318287638366034,0.057879966153125156,0.025302910230535186,30.418412214831093,68.9998306799927,7.886315767626955
CF2: decile 5 πₐ,2,60 to 64,14,1.2438267723717726,0.9336784843032043,0.3101482880685683,24.935006622921186,0.1742628066122488,0.13071480209196662,0.04354800452028218,24.98984457261761,79.07524819440734,11.10297686070469
CF2: decile 5 πₐ,2,65 to 69,15,1.1900090338992722,0.9476204623942206,0.24238857150505155,20.36863289271201,0.20238671685810308,0.16104950469087176,0.041337212167231324,20.424864244531214,49.70241004752621,8.476303385923053
CF2: decile 5 πₐ,2,70 to 74,16,1.7620547644311852,1.4667815977355099,0.2952731666956754,16.757320638158117,0.3480450203790846,0.2895121288979681,0.058532891481116456,16.81762072543473,54.713969840953126,10.846115463320539
CF2: decile 5 πₐ,2,75+,17,3.823470145221227,3.303190212594264,0.5202799326269631,13.607532238148536,0.9162452286121948,0.7910004582883005,0.12524477032389436,13.669350345605435,166.69050651397802,40.12669506222437
CF2: decile 5 πₐ,3,Under 1,1,0.008414509682699451,0.007761962894381624,6.525467883178272e-4,7.7550185682178006,3.2889000083273804e-4,3.030273484316807e-4,2.5862652401057362e-5,7.863617724945734,0.040286089943923645,0.00159667499629155
CF2: decile 5 πₐ,3,1 to 4,2,0.03682917478888643,0.034118923414368355,0.002710251374518073,7.3589793690840954,0.0014395263377915725,0.0013320428232058068,1.0748351458576572e-4,7.466588958049905,0.7090610774545235,0.02812003985214613
CF2: decile 5 πₐ,3,5 to 9,3,0.08420677238744655,0.0799664809954601,0.0042402913919864504,5.03557050313757,0.0033653612425517524,0.0031929708400342807,1.7239040251747174e-4,5.122493250880799,1.4400277163176873,0.058544787304352065
CF2: decile 5 πₐ,3,10 to 14,4,0.02199056900556452,0.02075896792507021,0.001231601080494308,5.6005875981774835,8.559634298381909e-4,8.072165227579123e-4,4.874690708027863e-5,5.6949754371508154,0.38835658023094377,0.01537119642906978
CF2: decile 5 πₐ,3,15 to 19,5,0.009186325005890632,0.008157886013358385,0.001028438992532247,11.195325572225798,2.781058623587988e-4,2.467177785230531e-4,3.1388083835745724e-5,11.286379787007268,0.29317586120920924,0.008947763141101513
CF2: decile 5 πₐ,3,20 to 24,6,0.017023526242402724,0.014833151796635044,0.00219037444576768,12.866749312559156,5.966605463943826e-4,5.192882386832128e-4,7.737230771116984e-5,12.967558887332236,0.8143588189287365,0.0287662327540421
