lsoa_code,urban_rural
E01000901,Urban
E01000902,Urban
E01000903,Urban
E01000904,Urban
E01000905,Urban
E01000906,Urban
E01000907,Urban
E01000908,Urban
E01000909,Urban
E01000910,Urban
E01000911,Urban
E01000912,Urban
E01000913,Urban
E01000914,Urban
E01000915,Urban
E01000916,Urban
E01000917,Urban
E01000918,Urban
E01000919,Urban
E01000920,Urban
E01000921,Urban
E01000922,Urban
E01000923,Urban
E01000924,Urban
E01000925,Urban
E01000926,Urban
E01000927,Urban
E01000928,Urban
E01000929,Urban
E01000930,Urban
E01000931,Urban
E01000932,Urban
E01000933,Urban
E01000934,Urban
E01000935,Urban
E01000936,Urban
E01000937,Urban
E01000938,Urban
E01000939,Urban
E01000940,Urban
E01000941,Urban
E01000942,Urban
E01000943,Urban
E01000944,Urban
E01000945,Urban
E01000946,Urban
E01000947,Urban
E01000948,Urban
E01000949,Urban
E01000950,Urban
E01000951,Urban
E01000952,Urban
E01000953,Urban
E01000954,Urban
E01000955,Urban
E01000956,Urban
E01000957,Urban
E01000958,Urban
E01000959,Urban
E01000960,Urban
E01000961,Urban
E01000962,Urban
E01000963,Urban
E01000964,Urban
E01000965,Urban
E01000966,Urban
E01000967,Urban
E01000968,Urban
E01000969,Urban
E01000970,Urban
E01000971,Urban
E01000972,Urban
E01000973,Urban
E01000974,Urban
E01000975,Urban
E01000976,Urban
E01000977,Urban
E01000978,Urban
E01000979,Urban
E01000980,Urban
E01000981,Urban
E01000982,Urban
E01000983,Urban
E01000984,Urban
E01000985,Urban
E01000986,Urban
E01000987,Urban
E01000989,Urban
E01000990,Urban
E01000991,Urban
E01000992,Urban
E01000993,Urban
E01000994,Urban
E01000995,Urban
E01000996,Urban
E01000997,Urban
E01000998,Urban
E01000999,Urban
E01001000,Urban
E01001001,Urban
E01001002,Urban
E01001003,Urban
E01001004,Urban
E01001005,Urban
E01001006,Urban
E01001007,Urban
E01001008,Urban
E01001009,Urban
E01001010,Urban
E01001011,Urban
E01001012,Urban
E01001013,Urban
E01001014,Urban
E01001015,Urban
E01001016,Urban
E01001017,Urban
E01001018,Urban
E01001019,Urban
E01001020,Urban
E01001021,Urban
E01001022,Urban
E01001023,Urban
E01001024,Urban
E01001025,Urban
E01001026,Urban
E01001027,Urban
E01001028,Urban
E01001029,Urban
E01001030,Urban
E01001031,Urban
E01001032,Urban
E01001033,Urban
E01001034,Urban
E01001035,Urban
E01001036,Urban
E01001037,Urban
E01001038,Urban
E01001039,Urban
E01001040,Urban
E01001041,Urban
E01001042,Urban
E01001043,Urban
E01001044,Urban
E01001045,Urban
E01001046,Urban
E01001047,Urban
E01001048,Urban
E01001049,Urban
E01001050,Urban
E01001051,Urban
E01001052,Urban
E01001053,Urban
E01001054,Urban
E01001055,Urban
E01001056,Urban
E01001057,Urban
E01001058,Urban
E01001059,Urban
E01001060,Urban
E01001061,Urban
E01001062,Urban
E01001063,Urban
E01001064,Urban
E01001065,Urban
E01001066,Urban
E01001067,Urban
E01001068,Urban
E01001069,Urban
E01001070,Urban
E01001071,Urban
E01001072,Urban
E01001073,Urban
E01001074,Urban
E01001075,Urban
E01001076,Urban
E01001077,Urban
E01001078,Urban
E01001079,Urban
E01001080,Urban
E01001081,Urban
E01001082,Urban
E01001083,Urban
E01001084,Urban
E01001085,Urban
E01001086,Urban
E01001087,Urban
E01001088,Urban
E01001089,Urban
E01001090,Urban
E01001091,Urban
E01001092,Urban
E01001093,Urban
E01001094,Urban
E01001095,Urban
E01001096,Urban
E01001097,Urban
E01001098,Urban
E01001099,Urban
E01001100,Urban
E01001101,Urban
E01001102,Urban
E01001103,Urban
E01001104,Urban
E01001105,Urban
E01001106,Urban
E01001107,Urban
E01001108,Urban
E01001109,Urban
E01001110,Urban
E01001111,Urban
E01001112,Urban
E01001113,Urban
E01001114,Urban
E01001115,Urban
E01001116,Urban
E01001117,Urban
E01001118,Urban
E01001119,Urban
E01001120,Urban
E01001121,Urban
E01001122,Urban
E01001123,Urban
E01001124,Urban
E01001125,Urban
E01001126,Urban
E01001127,Urban
E01001128,Urban
E01001129,Urban
E01001130,Urban
E01001131,Urban
E01001132,Urban
E01001133,Urban
E01001134,Urban
E01001135,Urban
E01001136,Urban
E01001137,Urban
E01001138,Urban
E01001139,Urban
E01001140,Urban
E01001141,Urban
E01001142,Urban
E01001143,Urban
E01001144,Urban
E01001145,Urban
E01001146,Urban
E01001147,Urban
E01001148,Urban
E01001149,Urban
E01001150,Urban
E01001151,Urban
E01001152,Urban
E01001153,Urban
E01001154,Urban
E01001155,Urban
E01001156,Urban
E01001157,Urban
E01001158,Urban
E01001159,Urban
E01001160,Urban
E01001161,Urban
E01001162,Urban
E01001163,Urban
E01001164,Urban
E01001165,Urban
E01001166,Urban
E01001167,Urban
E01001168,Urban
E01001169,Urban
E01001170,Urban
E01001171,Urban
E01001172,Urban
E01001173,Urban
E01001174,Urban
E01001175,Urban
E01001176,Urban
E01001177,Urban
E01001178,Urban
E01001179,Urban
E01001180,Urban
E01001181,Urban
E01001182,Urban
E01001183,Urban
E01001184,Urban
E01001185,Urban
E01001186,Urban
E01001187,Urban
E01001188,Urban
E01001189,Urban
E01001190,Urban
E01001191,Urban
E01001192,Urban
E01001193,Urban
E01001194,Urban
E01001195,Urban
E01001196,Urban
E01001197,Urban
E01001198,Urban
E01001199,Urban
E01001200,Urban
E01001201,Urban
E01001202,Urban
E01001203,Urban
E01001204,Urban
E01001205,Urban
E01001206,Urban
E01001207,Urban
E01001208,Urban
E01001209,Urban
E01001210,Urban
E01001211,Urban
E01001212,Urban
E01001213,Urban
E01001214,Urban
E01001215,Urban
E01001216,Urban
E01001217,Urban
E01001218,Urban
E01001219,Urban
E01001220,Urban
E01001221,Urban
E01001222,Urban
E01001223,Urban
E01001224,Urban
E01001225,Urban
E01001226,Urban
E01001227,Urban
E01001228,Urban
E01001229,Urban
E01001230,Urban
E01001231,Urban
E01001232,Urban
E01001233,Urban
E01001234,Urban
E01001235,Urban
E01001236,Urban
E01001237,Urban
E01001238,Urban
E01001239,Urban
E01001240,Urban
E01001241,Urban
E01001242,Urban
E01001243,Urban
E01001244,Urban
E01001245,Urban
E01001246,Urban
E01001247,Urban
E01001248,Urban
E01001249,Urban
E01001250,Urban
E01001251,Urban
E01001252,Urban
E01001253,Urban
E01001254,Urban
E01001255,Urban
E01001257,Urban
E01001258,Urban
E01001259,Urban
E01001260,Urban
E01001261,Urban
E01001262,Urban
E01001263,Urban
E01001264,Urban
E01001265,Urban
E01001266,Urban
E01001267,Urban
E01001268,Urban
E01001269,Urban
E01001270,Urban
E01001271,Urban
E01001272,Urban
E01001273,Urban
E01001274,Urban
E01001275,Urban
E01001276,Urban
E01001277,Urban
E01001278,Urban
E01001279,Urban
E01001280,Urban
E01001281,Urban
E01001282,Urban
E01001283,Urban
E01001284,Urban
E01001285,Urban
E01001286,Urban
E01001287,Urban
E01001288,Urban
E01001289,Urban
E01001290,Urban
E01001291,Urban
E01001292,Urban
E01001293,Urban
E01001294,Urban
E01001295,Urban
E01001296,Urban
E01001297,Urban
E01001298,Urban
E01001299,Urban
E01001300,Urban
E01001301,Urban
E01001302,Urban
E01001303,Urban
E01001304,Urban
E01001305,Urban
E01001306,Urban
E01001307,Urban
E01001308,Urban
E01001309,Urban
E01001310,Urban
E01001311,Urban
E01001312,Urban
E01001313,Urban
E01001314,Urban
E01001315,Urban
E01001316,Urban
E01001317,Urban
E01001318,Urban
E01001319,Urban
E01001320,Urban
E01001321,Urban
E01001322,Urban
E01001323,Urban
E01001324,Urban
E01001325,Urban
E01001326,Urban
E01001327,Urban
E01001328,Urban
E01001329,Urban
E01001330,Urban
E01001331,Urban
E01001332,Urban
E01001333,Urban
E01001334,Urban
E01001335,Urban
E01001336,Urban
E01001337,Urban
E01001338,Urban
E01001339,Urban
E01001340,Urban
E01001341,Urban
E01001342,Urban
E01001343,Urban
E01001344,Urban
E01001345,Urban
E01001346,Urban
E01001347,Urban
E01001348,Urban
E01001349,Urban
E01001350,Urban
E01001351,Urban
E01001352,Urban
E01001353,Urban
E01001354,Urban
E01001355,Urban
E01001356,Urban
E01001357,Urban
E01001358,Urban
E01001359,Urban
E01001360,Urban
E01001361,Urban
E01001362,Urban
E01001363,Urban
E01001364,Urban
E01001365,Urban
E01001366,Urban
E01001367,Urban
E01001368,Urban
E01001369,Urban
E01001370,Urban
E01001371,Urban
E01001372,Urban
E01001373,Urban
E01001374,Urban
E01001375,Urban
E01001376,Urban
E01001377,Urban
E01001379,Urban
E01001380,Urban
E01001381,Urban
E01001382,Urban
E01001383,Urban
E01001384,Urban
E01001385,Urban
E01001386,Urban
E01001387,Urban
E01001388,Urban
E01001389,Urban
E01001390,Urban
E01001391,Urban
E01001392,Urban
E01001393,Urban
E01001394,Urban
E01001395,Urban
E01001396,Urban
E01001397,Urban
E01001398,Urban
E01001399,Urban
E01001400,Urban
E01001401,Urban
E01001402,Urban
E01001403,Urban
E01001404,Urban
E01001405,Urban
E01001406,Urban
E01001407,Urban
E01001408,Urban
E01001409,Urban
E01001410,Urban
E01001411,Urban
E01001412,Rural
E01001413,Urban
E01001414,Urban
E01001415,Urban
E01001416,Urban
E01001417,Urban
E01001418,Urban
E01001419,Urban
E01001420,Urban
E01001421,Urban
E01001422,Urban
E01001423,Urban
E01001424,Urban
E01001425,Urban
E01001426,Urban
E01001427,Urban
E01001428,Urban
E01001429,Urban
E01001430,Urban
E01001431,Urban
E01001432,Urban
E01001433,Urban
E01001434,Urban
E01001435,Urban
E01001436,Urban
E01001437,Urban
E01001438,Urban
E01001439,Urban
E01001440,Urban
E01001441,Urban
E01001442,Urban
E01001444,Urban
E01001445,Urban
E01001446,Urban
E01001447,Urban
E01001448,Urban
E01001449,Urban
E01001450,Urban
E01001451,Urban
E01001452,Urban
E01001453,Urban
E01001454,Urban
E01001455,Urban
E01001456,Urban
E01001457,Urban
E01001458,Urban
E01001459,Urban
E01001460,Urban
E01001461,Urban
E01001462,Urban
E01001463,Urban
E01001464,Urban
E01001465,Urban
E01001466,Urban
E01001467,Urban
E01001468,Urban
E01001469,Urban
E01001470,Urban
E01001471,Urban
E01001472,Urban
E01001473,Urban
E01001474,Urban
E01001475,Urban
E01001476,Urban
E01001477,Urban
E01001478,Urban
E01001479,Urban
E01001480,Urban
E01001481,Urban
E01001482,Urban
E01001483,Urban
E01001484,Urban
E01001485,Urban
E01001486,Urban
E01001487,Urban
E01001488,Urban
E01001489,Urban
E01001491,Urban
E01001492,Urban
E01001493,Urban
E01001494,Urban
E01001495,Urban
E01001496,Urban
E01001497,Urban
E01001498,Urban
E01001499,Urban
E01001500,Urban
E01001501,Urban
E01001502,Urban
E01001503,Urban
E01001504,Urban
E01001505,Urban
E01001506,Urban
E01001507,Urban
E01001508,Urban
E01001509,Urban
E01001510,Urban
E01001511,Urban
E01001512,Urban
E01001513,Urban
E01001514,Urban
E01001515,Urban
E01001516,Urban
E01001517,Urban
E01001518,Urban
E01001519,Urban
E01001520,Urban
E01001521,Urban
E01001522,Urban
E01001523,Urban
E01001524,Urban
E01001525,Urban
E01001526,Urban
E01001527,Urban
E01001528,Urban
E01001529,Urban
E01001530,Urban
E01001531,Urban
E01001532,Urban
E01001533,Urban
E01001534,Urban
E01001535,Urban
E01001536,Urban
E01001537,Urban
E01001538,Urban
E01001539,Urban
E01001540,Urban
E01001541,Urban
E01001542,Urban
E01001543,Urban
E01001544,Urban
E01001545,Urban
E01001546,Urban
E01001547,Urban
E01001548,Urban
E01001549,Urban
E01001550,Urban
E01001551,Urban
E01001552,Urban
E01001553,Urban
E01001554,Urban
E01001555,Urban
E01001556,Urban
E01001557,Urban
E01001558,Urban
E01001559,Urban
E01001560,Urban
E01001562,Urban
E01001563,Urban
E01001564,Urban
E01001565,Urban
E01001566,Urban
E01001567,Urban
E01001568,Urban
E01001569,Urban
E01001570,Urban
E01001571,Urban
E01001572,Urban
E01001573,Urban
E01001574,Urban
